2026-05-16 02:08:34,676 [INFO] __main__: Loading LANL data from data/LANL-Dataset-2015 (window=3600s)
2026-05-16 02:08:35,128 [INFO] src.pipeline: Run ID: 20260516_090835, output dir: results/20260516_090835
2026-05-16 02:08:35,129 [INFO] src.io:   Saved pipeline_config.json to results/20260516_090835
2026-05-16 02:08:35,130 [INFO] src.stages: Red team: 749 events, 25 merged windows
2026-05-16 02:08:35,144 [INFO] src.io:   Saved redteam data to results/20260516_090835/redteam
2026-05-16 02:08:35,144 [INFO] src.stages: Streaming + building: combined
2026-05-16 02:08:43,141 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 500,000 events processed...
2026-05-16 02:09:49,438 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 18,500,000 events processed...
2026-05-16 02:09:50,710 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 19,000,000 events processed...
2026-05-16 02:09:52,020 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 19,500,000 events processed...
2026-05-16 02:09:53,285 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 20,000,000 events processed...
2026-05-16 02:09:54,503 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 20,500,000 events processed...
2026-05-16 02:09:58,267 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 21,000,000 events processed...
2026-05-16 02:09:59,516 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 21,500,000 events processed...
2026-05-16 02:10:00,795 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 22,000,000 events processed...
2026-05-16 02:10:02,115 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 22,500,000 events processed...
2026-05-16 02:10:09,407 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 23,000,000 events processed...
2026-05-16 02:10:10,702 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 23,500,000 events processed...
2026-05-16 02:10:12,040 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 24,000,000 events processed...
2026-05-16 02:10:13,543 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 24,500,000 events processed...
2026-05-16 02:10:14,854 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 25,000,000 events processed...
2026-05-16 02:10:16,195 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 25,500,000 events processed...
2026-05-16 02:10:17,604 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 26,000,000 events processed...
2026-05-16 02:10:18,939 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 26,500,000 events processed...
2026-05-16 02:10:20,245 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 27,000,000 events processed...
2026-05-16 02:10:21,549 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 27,500,000 events processed...
2026-05-16 02:10:22,933 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 28,000,000 events processed...
2026-05-16 02:10:24,233 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 28,500,000 events processed...
2026-05-16 02:10:25,528 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 29,000,000 events processed...
2026-05-16 02:10:26,820 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 29,500,000 events processed...
2026-05-16 02:10:28,216 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 30,000,000 events processed...
2026-05-16 02:10:29,530 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 30,500,000 events processed...
2026-05-16 02:10:30,818 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 31,000,000 events processed...
2026-05-16 02:10:32,125 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 31,500,000 events processed...
2026-05-16 02:10:33,537 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 32,000,000 events processed...
2026-05-16 02:10:34,840 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 32,500,000 events processed...
2026-05-16 02:10:36,096 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 33,000,000 events processed...
2026-05-16 02:10:37,362 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 33,500,000 events processed...
2026-05-16 02:10:38,724 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 34,000,000 events processed...
2026-05-16 02:10:40,050 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 34,500,000 events processed...
2026-05-16 02:10:41,371 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 35,000,000 events processed...
2026-05-16 02:10:42,655 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 35,500,000 events processed...
2026-05-16 02:10:43,938 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 36,000,000 events processed...
2026-05-16 02:10:48,706 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 36,500,000 events processed...
2026-05-16 02:10:50,017 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 37,000,000 events processed...
2026-05-16 02:10:51,344 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 37,500,000 events processed...
2026-05-16 02:11:04,476 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 38,000,000 events processed...
2026-05-16 02:11:05,773 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 38,500,000 events processed...
2026-05-16 02:11:07,197 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 39,000,000 events processed...
2026-05-16 02:11:08,542 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 39,500,000 events processed...
2026-05-16 02:11:09,988 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 40,000,000 events processed...
2026-05-16 02:11:11,394 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 40,500,000 events processed...
2026-05-16 02:11:12,833 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 41,000,000 events processed...
2026-05-16 02:11:14,217 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 41,500,000 events processed...
2026-05-16 02:11:15,564 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 42,000,000 events processed...
2026-05-16 02:11:16,895 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 42,500,000 events processed...
2026-05-16 02:11:18,240 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 43,000,000 events processed...
2026-05-16 02:11:19,570 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 43,500,000 events processed...
2026-05-16 02:11:20,935 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 44,000,000 events processed...
2026-05-16 02:11:22,324 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 44,500,000 events processed...
2026-05-16 02:11:23,648 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 45,000,000 events processed...
2026-05-16 02:11:24,964 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 45,500,000 events processed...
2026-05-16 02:11:26,282 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 46,000,000 events processed...
2026-05-16 02:11:27,605 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 46,500,000 events processed...
2026-05-16 02:11:28,930 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 47,000,000 events processed...
2026-05-16 02:11:30,242 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 47,500,000 events processed...
2026-05-16 02:11:31,559 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 48,000,000 events processed...
2026-05-16 02:11:32,861 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 48,500,000 events processed...
2026-05-16 02:11:34,155 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 49,000,000 events processed...
2026-05-16 02:11:35,473 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 49,500,000 events processed...
2026-05-16 02:11:39,490 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 50,000,000 events processed...
2026-05-16 02:11:40,770 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 50,500,000 events processed...
2026-05-16 02:11:42,058 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 51,000,000 events processed...
2026-05-16 02:11:43,361 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 51,500,000 events processed...
2026-05-16 02:11:44,675 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 52,000,000 events processed...
2026-05-16 02:11:45,973 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 52,500,000 events processed...
2026-05-16 02:11:47,295 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 53,000,000 events processed...
2026-05-16 02:11:48,607 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 53,500,000 events processed...
2026-05-16 02:11:49,899 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 54,000,000 events processed...
2026-05-16 02:11:51,189 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 54,500,000 events processed...
2026-05-16 02:11:52,478 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 55,000,000 events processed...
2026-05-16 02:11:53,777 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 55,500,000 events processed...
2026-05-16 02:11:55,065 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 56,000,000 events processed...
2026-05-16 02:11:56,372 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 56,500,000 events processed...
2026-05-16 02:11:57,678 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 57,000,000 events processed...
2026-05-16 02:11:58,978 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 57,500,000 events processed...
2026-05-16 02:12:00,263 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 58,000,000 events processed...
2026-05-16 02:12:01,559 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 58,500,000 events processed...
2026-05-16 02:12:02,860 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 59,000,000 events processed...
2026-05-16 02:12:04,161 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 59,500,000 events processed...
2026-05-16 02:12:05,453 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 60,000,000 events processed...
2026-05-16 02:12:06,751 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 60,500,000 events processed...
2026-05-16 02:12:08,032 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 61,000,000 events processed...
2026-05-16 02:12:09,299 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 61,500,000 events processed...
2026-05-16 02:12:13,171 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 62,000,000 events processed...
2026-05-16 02:12:14,456 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 62,500,000 events processed...
2026-05-16 02:12:15,743 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 63,000,000 events processed...
2026-05-16 02:12:17,021 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 63,500,000 events processed...
2026-05-16 02:12:18,366 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 64,000,000 events processed...
2026-05-16 02:12:19,654 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 64,500,000 events processed...
2026-05-16 02:12:20,965 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 65,000,000 events processed...
2026-05-16 02:12:22,259 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 65,500,000 events processed...
2026-05-16 02:12:23,557 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 66,000,000 events processed...
2026-05-16 02:12:24,849 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 66,500,000 events processed...
2026-05-16 02:12:26,141 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 67,000,000 events processed...
2026-05-16 02:12:27,491 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 67,500,000 events processed...
2026-05-16 02:12:28,971 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 68,000,000 events processed...
2026-05-16 02:12:30,396 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 68,500,000 events processed...
2026-05-16 02:12:31,774 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 69,000,000 events processed...
2026-05-16 02:12:37,395 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 69,500,000 events processed...
2026-05-16 02:12:38,794 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 70,000,000 events processed...
2026-05-16 02:12:40,178 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 70,500,000 events processed...
2026-05-16 02:12:41,590 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 71,000,000 events processed...
2026-05-16 02:12:44,377 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 71,500,000 events processed...
2026-05-16 02:12:45,760 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 72,000,000 events processed...
2026-05-16 02:12:47,136 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 72,500,000 events processed...
2026-05-16 02:12:48,485 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 73,000,000 events processed...
2026-05-16 02:12:49,826 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 73,500,000 events processed...
2026-05-16 02:12:51,201 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 74,000,000 events processed...
2026-05-16 02:12:52,580 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 74,500,000 events processed...
2026-05-16 02:12:54,019 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 75,000,000 events processed...
2026-05-16 02:12:55,416 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 75,500,000 events processed...
2026-05-16 02:13:16,618 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 76,000,000 events processed...
2026-05-16 02:13:17,988 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 76,500,000 events processed...
2026-05-16 02:13:19,362 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 77,000,000 events processed...
2026-05-16 02:13:20,729 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 77,500,000 events processed...
2026-05-16 02:13:27,686 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 78,000,000 events processed...
2026-05-16 02:13:29,036 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 78,500,000 events processed...
2026-05-16 02:13:30,393 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 79,000,000 events processed...
2026-05-16 02:13:31,750 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 79,500,000 events processed...
2026-05-16 02:13:33,100 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 80,000,000 events processed...
2026-05-16 02:13:34,462 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 80,500,000 events processed...
2026-05-16 02:13:40,638 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 81,000,000 events processed...
2026-05-16 02:13:41,971 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 81,500,000 events processed...
2026-05-16 02:13:43,313 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 82,000,000 events processed...
2026-05-16 02:13:44,653 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 82,500,000 events processed...
2026-05-16 02:14:06,756 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 83,000,000 events processed...
2026-05-16 02:14:08,200 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 83,500,000 events processed...
2026-05-16 02:14:09,560 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 84,000,000 events processed...
2026-05-16 02:14:10,925 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 84,500,000 events processed...
2026-05-16 02:14:12,251 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 85,000,000 events processed...
2026-05-16 02:14:13,580 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 85,500,000 events processed...
2026-05-16 02:14:14,919 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 86,000,000 events processed...
2026-05-16 02:14:16,321 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 86,500,000 events processed...
2026-05-16 02:14:17,675 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 87,000,000 events processed...
2026-05-16 02:14:19,008 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 87,500,000 events processed...
2026-05-16 02:14:23,279 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 88,000,000 events processed...
2026-05-16 02:14:24,604 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 88,500,000 events processed...
2026-05-16 02:14:25,933 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 89,000,000 events processed...
2026-05-16 02:14:27,272 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 89,500,000 events processed...
2026-05-16 02:14:28,601 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 90,000,000 events processed...
2026-05-16 02:14:29,965 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 90,500,000 events processed...
2026-05-16 02:14:31,330 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 91,000,000 events processed...
2026-05-16 02:14:32,663 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 91,500,000 events processed...
2026-05-16 02:14:34,269 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 92,000,000 events processed...
2026-05-16 02:14:35,867 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 92,500,000 events processed...
2026-05-16 02:14:37,164 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 93,000,000 events processed...
2026-05-16 02:14:38,474 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 93,500,000 events processed...
2026-05-16 02:14:39,793 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 94,000,000 events processed...
2026-05-16 02:14:45,915 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 94,500,000 events processed...
2026-05-16 02:14:47,267 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 95,000,000 events processed...
2026-05-16 02:14:48,633 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 95,500,000 events processed...
2026-05-16 02:14:50,008 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 96,000,000 events processed...
2026-05-16 02:14:51,437 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 96,500,000 events processed...
2026-05-16 02:14:53,058 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 97,000,000 events processed...
2026-05-16 02:14:54,540 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 97,500,000 events processed...
2026-05-16 02:14:56,051 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 98,000,000 events processed...
2026-05-16 02:15:01,379 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 98,500,000 events processed...
2026-05-16 02:15:02,679 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 99,000,000 events processed...
2026-05-16 02:15:04,011 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 99,500,000 events processed...
2026-05-16 02:15:05,339 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 100,000,000 events processed...
2026-05-16 02:15:07,243 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 100,500,000 events processed...
2026-05-16 02:15:08,613 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 101,000,000 events processed...
2026-05-16 02:15:09,921 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 101,500,000 events processed...
2026-05-16 02:15:11,229 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 102,000,000 events processed...
2026-05-16 02:15:12,595 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 102,500,000 events processed...
2026-05-16 02:15:14,027 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 103,000,000 events processed...
2026-05-16 02:15:15,427 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 103,500,000 events processed...
2026-05-16 02:15:16,890 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 104,000,000 events processed...
2026-05-16 02:15:21,792 [INFO] src.graph.builder:   data/LANL-Dataset-2015/flows.txt: 500,000 events processed...
2026-05-16 02:15:22,965 [INFO] src.graph.builder:   data/LANL-Dataset-2015/flows.txt: 1,000,000 events processed...
2026-05-16 02:15:25,332 [INFO] src.graph.builder:   data/LANL-Dataset-2015/flows.txt: 1,500,000 events processed...
2026-05-16 02:15:26,438 [INFO] src.graph.builder:   data/LANL-Dataset-2015/flows.txt: 2,000,000 events processed...
2026-05-16 02:15:27,592 [INFO] src.graph.builder:   data/LANL-Dataset-2015/flows.txt: 2,500,000 events processed...
2026-05-16 02:15:28,773 [INFO] src.graph.builder:   data/LANL-Dataset-2015/flows.txt: 3,000,000 events processed...
2026-05-16 02:15:29,949 [INFO] src.graph.builder:   data/LANL-Dataset-2015/flows.txt: 3,500,000 events processed...
2026-05-16 02:15:31,100 [INFO] src.graph.builder:   data/LANL-Dataset-2015/flows.txt: 4,000,000 events processed...
2026-05-16 02:15:32,243 [INFO] src.graph.builder:   data/LANL-Dataset-2015/flows.txt: 4,500,000 events processed...
2026-05-16 02:15:38,597 [INFO] src.graph.builder:   data/LANL-Dataset-2015/flows.txt: 5,000,000 events processed...
2026-05-16 02:15:39,750 [INFO] src.graph.builder:   data/LANL-Dataset-2015/flows.txt: 5,500,000 events processed...
