src,dst,type,auth_type,logon_type,auth_orientation,success,time,weight,first_time,last_time
C13455$@DOM1,C13455$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,
C13701,C13701,auth,?,?,AuthMap,Success,147285.0,3,147285.0,147285.0
C13701$@DOM1,C13701$@DOM1,auth,?,?,AuthMap,Success,147285.0,3,147285.0,147285.0
C13781,C13781,auth,?,Network,LogOff,Success,147285.0,2,147285.0,147285.0
C13781$@DOM1,C13781$@DOM1,auth,?,Network,LogOff,Success,147285.0,2,147285.0,147285.0
C13968,C528,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,
C13968$@DOM1,C13968$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,
C1422,C2106,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,
C1422$@DOM1,C1422$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,
C14354$@DOM1,C14354$@DOM1,auth,?,Network,LogOff,Success,147285.0,1,147285.0,
C801,C801,auth,?,Network,LogOff,Success,147285.0,1,147285.0,
C14670$@DOM1,C14670$@DOM1,auth,?,Network,LogOff,Success,147285.0,1,147285.0,
C14709,C528,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,
C14709$@DOM1,C14709$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,
C14746,C1015,auth,NTLM,Network,LogOn,Success,147285.0,1,147285.0,
C14746$@DOM1,C14746$@DOM1,auth,NTLM,Network,LogOn,Success,147285.0,1,147285.0,
C1475,C457,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,
C1475$@DOM1,C1475$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,2,147285.0,147285.0
