edge_index,edge_rarity,src_out_degree,dst_in_degree,is_ntlm,is_network_logon,is_success_auth,source_fan_out,weight_norm,is_self_loop,is_user_edge,is_unusual_dst_port,protocol_rarity,byte_per_packet,duration_zscore,temporal_decay_weight
44,0.16666666666666666,1,1,0.0,0.0,1.0,1,0.16666666666666666,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
45,0.5,5,3,0.0,0.0,1.0,5,0.5,0.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
46,1.0,5,3,0.0,0.0,1.0,5,1.0,0.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
47,1.0,5,3,0.0,0.0,1.0,5,1.0,0.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
48,1.0,5,1,0.0,0.0,1.0,5,1.0,0.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
49,1.0,1,1,0.0,1.0,1.0,1,1.0,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
50,1.0,1,1,0.0,1.0,1.0,1,1.0,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
51,1.0,1,1,0.0,1.0,1.0,1,1.0,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
52,0.3333333333333333,1,1,0.0,0.0,1.0,1,0.3333333333333333,1.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
53,0.3333333333333333,1,1,0.0,0.0,1.0,1,0.3333333333333333,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
54,0.5,1,1,0.0,1.0,1.0,1,0.5,1.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
55,0.5,1,1,0.0,1.0,1.0,1,0.5,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
56,1.0,1,4,0.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
57,1.0,1,1,0.0,1.0,1.0,1,1.0,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
58,1.0,1,5,0.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
59,1.0,1,1,0.0,1.0,1.0,1,1.0,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
60,1.0,1,1,0.0,1.0,1.0,1,1.0,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
61,1.0,1,1,0.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
62,1.0,1,1,0.0,1.0,1.0,1,1.0,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
63,1.0,1,4,0.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
64,1.0,1,1,0.0,1.0,1.0,1,1.0,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
65,1.0,1,1,1.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
66,1.0,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
67,1.0,1,2,0.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
68,0.5,1,1,0.0,1.0,1.0,1,0.5,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
