edge_index,edge_rarity,src_out_degree,dst_in_degree,src_fan_out,normalized_weight,is_self_loop,is_user_edge,is_ntlm,is_network_logon,auth_success,is_unusual_dst_port,is_ephemeral,protocol_rarity,byte_per_packet_ratio,duration_z_score
25,1.0,1,434,1.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0
26,0.5,1,1,0.5,0.006535947712418301,1,1,0,1,0,0,0,0.0,0.0,0.0
27,0.125,16,13,0.9411764705882353,0.0457516339869281,0,0,1,1,0,0,0,0.0,0.0,0.0
28,0.0012437810945273632,1,1,0.5,0.9215686274509803,1,1,1,1,0,0,0,0.0,0.0,0.0
29,0.2,1,1,0.5,0.026143790849673203,1,1,0,1,0,0,0,0.0,0.0,0.0
30,0.2,1,1,0.5,0.026143790849673203,1,1,0,1,0,0,0,0.0,0.0,0.0
31,1.0,6,434,0.6666666666666666,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0
32,0.25,2,1,0.6666666666666666,0.0196078431372549,1,1,0,1,0,0,0,0.0,0.0,0.0
33,0.16666666666666666,5,854,0.8333333333333334,0.032679738562091505,0,0,1,1,0,0,0,0.0,0.0,0.0
34,0.029411764705882353,1,1,0.5,0.21568627450980393,1,1,1,1,0,0,0,0.0,0.0,0.0
35,1.0,1,872,1.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0
36,0.3333333333333333,1,1,0.5,0.013071895424836602,1,1,0,1,0,0,0,0.0,0.0,0.0
37,0.5,1,779,1.0,0.006535947712418301,0,0,0,1,0,0,0,0.0,0.0,0.0
38,0.25,1,1,0.5,0.0196078431372549,1,1,0,1,0,0,0,0.0,0.0,0.0
39,0.0037313432835820895,1,1,0.5,0.7973856209150327,1,1,0,1,0,0,0,0.0,0.0,0.0
40,0.5,12,434,0.9230769230769231,0.006535947712418301,0,0,0,1,0,0,0,0.0,0.0,0.0
41,0.0006277463904582549,122,735,0.1423570595099183,0.9477124183006536,1,0,0,1,0,0,0,0.0,0.0,0.0
42,1.0,1,1,0.5,0.0,1,1,0,1,0,0,0,0.0,0.0,0.0
43,1.0,5,1,0.8333333333333334,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0
44,0.04,1,1,0.5,0.1568627450980392,1,1,0,0,0,0,0,0.0,0.0,0.0
45,0.25,5,779,0.8333333333333334,0.0196078431372549,0,0,0,0,0,0,0,0.0,0.0,0.0
46,0.3333333333333333,5,1321,0.8333333333333334,0.013071895424836602,0,0,0,0,0,0,0,0.0,0.0,0.0
47,0.3333333333333333,5,854,0.8333333333333334,0.013071895424836602,0,0,0,0,0,0,0,0.0,0.0,0.0
48,1.0,5,361,0.8333333333333334,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0
49,1.0,1,1,0.5,0.0,1,1,0,1,0,0,0,0.0,0.0,0.0
50,0.2,1,1,0.5,0.026143790849673203,1,1,0,1,0,0,0,0.0,0.0,0.0
51,0.5,1,1,0.5,0.006535947712418301,1,1,0,1,0,0,0,0.0,0.0,0.0
52,0.2,4,3,0.5714285714285714,0.026143790849673203,1,0,0,0,0,0,0,0.0,0.0,0.0
53,0.08333333333333333,1,1,0.5,0.0718954248366013,1,1,0,0,0,0,0,0.0,0.0,0.0
54,0.25,5,1,0.8333333333333334,0.0196078431372549,1,0,0,1,0,0,0,0.0,0.0,0.0
55,0.07692307692307693,1,1,0.5,0.0784313725490196,1,1,0,1,0,0,0,0.0,0.0,0.0
56,1.0,2,872,0.6666666666666666,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0
57,0.5,1,1,0.5,0.006535947712418301,1,1,0,1,0,0,0,0.0,0.0,0.0
58,1.0,2,434,1.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0
59,0.2,1,1,0.5,0.026143790849673203,1,1,0,1,0,0,0,0.0,0.0,0.0
60,0.3333333333333333,1,1,0.5,0.013071895424836602,1,1,0,1,0,0,0,0.0,0.0,0.0
61,0.0031545741324921135,8,35,0.18604651162790697,0.8235294117647058,1,0,0,1,0,0,0,0.0,0.0,0.0
62,0.045454545454545456,1,1,0.5,0.13725490196078433,1,1,0,1,0,0,0,0.0,0.0,0.0
63,1.0,1,872,0.5,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0
64,0.5,1,1,0.5,0.006535947712418301,1,1,0,1,0,0,0,0.0,0.0,0.0
65,0.03225806451612903,4,45,0.5714285714285714,0.19607843137254902,0,0,1,1,0,0,0,0.0,0.0,0.0
66,0.058823529411764705,1,1,0.5,0.10457516339869281,1,1,1,1,0,0,0,0.0,0.0,0.0
67,0.5,3,735,1.0,0.006535947712418301,0,0,0,1,0,0,0,0.0,0.0,0.0
68,0.07142857142857142,1,1,0.5,0.08496732026143791,1,1,0,1,0,0,0,0.0,0.0,0.0
69,0.07142857142857142,1,1,0.5,0.08496732026143791,1,1,0,1,0,0,0,0.0,0.0,0.0
70,0.1,5,1,0.8333333333333334,0.058823529411764705,1,0,0,0,0,0,0,0.0,0.0,0.0
71,0.03571428571428571,4,1,0.8,0.17647058823529413,1,1,0,0,0,0,0,0.0,0.0,0.0
72,1.0,3,2,0.6,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0
73,0.2,1,1,0.5,0.026143790849673203,1,1,0,0,0,0,0,0.0,0.0,0.0
74,1.0,3,779,0.6,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0
75,0.0006600660066006601,174,737,0.19099890230515917,0.9411764705882353,1,0,0,1,0,0,0,0.0,0.0,0.0
76,0.03333333333333333,1,1,0.5,0.1895424836601307,1,1,0,1,0,0,0,0.0,0.0,0.0
77,0.25,6,737,0.6666666666666666,0.0196078431372549,0,0,0,1,0,0,0,0.0,0.0,0.0
78,0.25,6,854,0.6666666666666666,0.0196078431372549,0,0,0,1,0,0,0,0.0,0.0,0.0
79,1.0,181,3,1.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0
80,0.001451378809869376,3,70,0.0410958904109589,0.8954248366013072,1,0,0,1,0,0,0,0.0,0.0,0.0
81,0.058823529411764705,1,1,0.5,0.10457516339869281,1,1,0,1,0,0,0,0.0,0.0,0.0
82,0.3333333333333333,1,1,0.5,0.013071895424836602,1,1,0,1,0,0,0,0.0,0.0,0.0
83,0.3333333333333333,1,1,0.5,0.013071895424836602,1,1,0,1,0,0,0,0.0,0.0,0.0
84,0.0012453300124533001,12,14,0.46153846153846156,0.9150326797385621,1,0,0,1,0,0,0,0.0,0.0,0.0
85,0.002770083102493075,1,1,0.5,0.8431372549019608,1,1,0,1,0,0,0,0.0,0.0,0.0
86,0.006369426751592357,14,13,0.5185185185185185,0.7124183006535948,1,0,0,1,0,0,0,0.0,0.0,0.0
87,0.0125,14,14,0.9333333333333333,0.47058823529411764,0,0,0,1,0,0,0,0.0,0.0,0.0
88,0.07142857142857142,14,13,0.9333333333333333,0.08496732026143791,0,0,0,1,0,0,0,0.0,0.0,0.0
89,0.034482758620689655,14,13,0.9333333333333333,0.1830065359477124,0,0,0,1,0,0,0,0.0,0.0,0.0
90,0.002178649237472767,11,13,0.4583333333333333,0.869281045751634,1,0,0,1,0,0,0,0.0,0.0,0.0
91,1.0,1,1,0.5,0.0,1,1,0,1,0,0,0,0.0,0.0,0.0
92,1.0,2,735,0.6666666666666666,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0
93,0.3333333333333333,2,2,0.5,0.013071895424836602,1,1,0,1,0,0,0,0.0,0.0,0.0
94,0.020833333333333332,1,1,0.5,0.30718954248366015,1,1,0,1,0,0,0,0.0,0.0,0.0
95,0.25,115,434,0.5111111111111111,0.0196078431372549,0,0,0,1,0,0,0,0.0,0.0,0.0
96,0.2,1,434,1.0,0.026143790849673203,0,0,0,1,0,0,0,0.0,0.0,0.0
97,0.5,1,1,0.5,0.006535947712418301,1,1,0,1,0,0,0,0.0,0.0,0.0
98,0.08333333333333333,1,1,0.5,0.0718954248366013,1,1,0,1,0,0,0,0.0,0.0,0.0
99,0.3333333333333333,4,737,1.0,0.013071895424836602,0,0,0,1,0,0,0,0.0,0.0,0.0
100,0.03571428571428571,5,5,0.8333333333333334,0.17647058823529413,0,0,0,1,0,0,0,0.0,0.0,0.0
101,0.023255813953488372,1,2,0.3333333333333333,0.27450980392156865,1,1,0,1,0,0,0,0.0,0.0,0.0
102,0.3333333333333333,1,1,0.5,0.013071895424836602,1,1,0,1,0,0,0,0.0,0.0,0.0
103,0.1111111111111111,1,1,0.5,0.05228758169934641,1,1,0,1,0,0,0,0.0,0.0,0.0
104,0.05,2,737,0.5,0.12418300653594772,0,0,0,0,0,0,0,0.0,0.0,0.0
105,0.14285714285714285,1,1,0.5,0.0392156862745098,1,1,0,0,0,0,0,0.0,0.0,0.0
106,0.047619047619047616,7,17,0.6363636363636364,0.13071895424836602,0,0,0,1,0,0,0,0.0,0.0,0.0
107,0.011363636363636364,1,1,0.5,0.5228758169934641,1,1,0,1,0,0,0,0.0,0.0,0.0
108,0.010101010101010102,4,17,0.19047619047619047,0.5751633986928104,1,0,0,1,0,0,0,0.0,0.0,0.0
109,0.002188183807439825,1,1,0.5,0.8627450980392157,1,1,0,1,0,0,0,0.0,0.0,0.0
110,0.016666666666666666,18,14,0.9473684210526315,0.3790849673202614,0,0,0,1,0,0,0,0.0,0.0,0.0
111,1.0,2,434,1.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0
112,0.5,1,1,0.5,0.006535947712418301,1,1,0,1,0,0,0,0.0,0.0,0.0
113,0.5,2,872,1.0,0.006535947712418301,0,0,0,1,0,0,0,0.0,0.0,0.0
114,0.14285714285714285,1,1,0.5,0.0392156862745098,1,1,0,1,0,0,0,0.0,0.0,0.0
115,0.125,3,3,0.5,0.0457516339869281,1,0,0,1,0,0,0,0.0,0.0,0.0
116,0.5,2,2,0.5,0.006535947712418301,0,1,0,1,0,0,0,0.0,0.0,0.0
117,1.0,4,434,0.6666666666666666,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0
118,0.25,1,1,0.5,0.0196078431372549,1,1,0,1,0,0,0,0.0,0.0,0.0
119,1.0,12,735,0.9230769230769231,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0
120,0.012345679012345678,1,1,0.5,0.477124183006536,1,1,0,1,0,0,0,0.0,0.0,0.0
121,1.0,3,1,0.0410958904109589,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0
122,0.05,1,1,0.5,0.12418300653594772,1,1,0,0,0,0,0,0.0,0.0,0.0
123,0.16666666666666666,2,1,0.6666666666666666,0.032679738562091505,1,0,0,0,0,0,0,0.0,0.0,0.0
124,0.041666666666666664,1,1,0.5,0.1503267973856209,1,1,0,0,0,0,0,0.0,0.0,0.0
125,0.08333333333333333,2,735,0.6666666666666666,0.0718954248366013,0,0,0,0,0,0,0,0.0,0.0,0.0
126,0.16666666666666666,2,1,0.6666666666666666,0.032679738562091505,1,0,0,0,0,0,0,0.0,0.0,0.0
127,0.041666666666666664,1,1,0.5,0.1503267973856209,1,1,0,0,0,0,0,0.0,0.0,0.0
128,0.08333333333333333,2,735,0.6666666666666666,0.0718954248366013,0,0,0,0,0,0,0,0.0,0.0,0.0
129,0.16666666666666666,2,1,0.6666666666666666,0.032679738562091505,1,0,0,0,0,0,0,0.0,0.0,0.0
130,0.041666666666666664,1,1,0.5,0.1503267973856209,1,1,0,0,0,0,0,0.0,0.0,0.0
131,0.08333333333333333,2,735,0.6666666666666666,0.0718954248366013,0,0,0,0,0,0,0,0.0,0.0,0.0
132,0.05,1,1,0.5,0.12418300653594772,1,1,0,1,0,0,0,0.0,0.0,0.0
133,0.5,5,434,0.8333333333333334,0.006535947712418301,0,0,0,1,0,0,0,0.0,0.0,0.0
134,0.025,7,70,1.0,0.2549019607843137,0,0,0,1,0,0,0,0.0,0.0,0.0
135,0.038461538461538464,1,1,0.5,0.16339869281045752,1,1,0,1,0,0,0,0.0,0.0,0.0
136,0.2,1,1,0.5,0.026143790849673203,1,1,0,1,0,0,0,0.0,0.0,0.0
137,0.3333333333333333,2,865,0.6666666666666666,0.013071895424836602,0,0,0,1,0,0,0,0.0,0.0,0.0
138,0.2,1,1,0.5,0.026143790849673203,1,1,0,1,0,0,0,0.0,0.0,0.0
139,0.07142857142857142,3,70,1.0,0.08496732026143791,0,0,0,1,0,0,0,0.0,0.0,0.0
140,0.06666666666666667,1,1,0.5,0.0915032679738562,1,1,0,1,0,0,0,0.0,0.0,0.0
141,0.09090909090909091,1,1,0.5,0.06535947712418301,1,1,0,1,0,0,0,0.0,0.0,0.0
142,1.0,5,1321,0.8333333333333334,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0
143,0.08333333333333333,1,1,0.5,0.0718954248366013,1,1,0,1,0,0,0,0.0,0.0,0.0
144,0.00847457627118644,39,124,0.2392638036809816,0.6339869281045751,1,0,0,1,0,0,0,0.0,0.0,0.0
145,1.0,1,1,0.5,0.0,1,1,0,1,0,0,0,0.0,0.0,0.0
146,0.06666666666666667,5,70,1.0,0.0915032679738562,0,0,0,1,0,0,0,0.0,0.0,0.0
147,0.09090909090909091,1,1,0.5,0.06535947712418301,1,1,0,1,0,0,0,0.0,0.0,0.0
148,0.05555555555555555,1,1,0.5,0.1111111111111111,1,1,0,1,0,0,0,0.0,0.0,0.0
149,0.25,5,1,0.8333333333333334,0.0196078431372549,1,0,0,1,0,0,0,0.0,0.0,0.0
150,0.041666666666666664,1,1,0.5,0.1503267973856209,1,1,0,1,0,0,0,0.0,0.0,0.0
151,0.2,1,1,0.5,0.026143790849673203,1,1,0,1,0,0,0,0.0,0.0,0.0
152,0.5,2,361,1.0,0.006535947712418301,0,0,0,0,0,0,0,0.0,0.0,0.0
153,0.25,1,1,0.5,0.0196078431372549,1,1,0,0,0,0,0,0.0,0.0,0.0
154,0.07692307692307693,3,779,0.42857142857142855,0.0784313725490196,0,0,0,1,0,0,0,0.0,0.0,0.0
155,0.25,1,1,0.5,0.0196078431372549,1,1,0,1,0,0,0,0.0,0.0,0.0
156,0.5,3,865,0.75,0.006535947712418301,0,0,0,1,0,0,0,0.0,0.0,0.0
157,0.14285714285714285,1,1,0.5,0.0392156862745098,1,1,0,1,0,0,0,0.0,0.0,0.0
158,0.5,3,854,0.75,0.006535947712418301,0,0,0,1,0,0,0,0.0,0.0,0.0
159,0.0031545741324921135,1,1,0.5,0.8235294117647058,1,1,0,1,0,0,0,0.0,0.0,0.0
160,0.3333333333333333,13,779,0.9285714285714286,0.013071895424836602,0,0,0,1,0,0,0,0.0,0.0,0.0
161,0.002386634844868735,1,1,0.5,0.8496732026143791,1,1,0,1,0,0,0,0.0,0.0,0.0
162,0.0014577259475218659,1,1,0.5,0.8888888888888888,1,1,0,1,0,0,0,0.0,0.0,0.0
163,0.007042253521126761,16,14,0.9411764705882353,0.6862745098039216,0,0,0,1,0,0,0,0.0,0.0,0.0
164,0.1111111111111111,16,13,0.9411764705882353,0.05228758169934641,0,0,1,1,0,0,0,0.0,0.0,0.0
165,0.1,16,865,0.9411764705882353,0.058823529411764705,0,0,0,1,0,0,0,0.0,0.0,0.0
166,0.0051813471502590676,16,5,0.9411764705882353,0.7516339869281046,0,0,0,0,0,0,0,0.0,0.0,0.0
167,1.0,1,1,0.5,0.0,1,1,0,1,0,0,0,0.0,0.0,0.0
168,0.125,1,1,0.5,0.0457516339869281,1,1,0,1,0,0,0,0.0,0.0,0.0
169,0.14285714285714285,4,779,0.8,0.0392156862745098,0,0,0,1,0,0,0,0.0,0.0,0.0
170,0.08333333333333333,2,1,0.6666666666666666,0.0718954248366013,1,1,0,1,0,0,0,0.0,0.0,0.0
171,0.06666666666666667,1,1,0.5,0.0915032679738562,1,1,0,1,0,0,0,0.0,0.0,0.0
172,0.5,7,737,0.7,0.006535947712418301,0,0,0,1,0,0,0,0.0,0.0,0.0
173,0.3333333333333333,1,1,0.5,0.013071895424836602,1,1,0,1,0,0,0,0.0,0.0,0.0
174,1.0,181,2,1.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0
175,0.045454545454545456,1,1,0.5,0.13725490196078433,1,1,0,1,0,0,0,0.0,0.0,0.0
176,0.5,5,2,0.7142857142857143,0.006535947712418301,1,0,0,1,0,0,0,0.0,0.0,0.0
177,1.0,2,735,0.6666666666666666,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0
178,0.3333333333333333,1,1,0.5,0.013071895424836602,1,1,0,1,0,0,0,0.0,0.0,0.0
179,0.0625,2,45,1.0,0.09803921568627451,0,0,0,1,0,0,0,0.0,0.0,0.0
180,0.0625,1,1,0.5,0.09803921568627451,1,1,0,1,0,0,0,0.0,0.0,0.0
181,0.058823529411764705,1,1,0.5,0.10457516339869281,1,1,0,1,0,0,0,0.0,0.0,0.0
182,0.5,5,434,0.7142857142857143,0.006535947712418301,0,0,0,1,0,0,0,0.0,0.0,0.0
183,1.0,3,434,1.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0
184,0.058823529411764705,1,1,0.5,0.10457516339869281,1,1,0,1,0,0,0,0.0,0.0,0.0
185,1.0,1,434,1.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0
186,0.5,1,1,0.5,0.006535947712418301,1,1,0,1,0,0,0,0.0,0.0,0.0
187,0.5,2,872,0.6666666666666666,0.006535947712418301,0,0,0,1,0,0,0,0.0,0.0,0.0
188,0.3333333333333333,1,1,0.5,0.013071895424836602,1,1,0,1,0,0,0,0.0,0.0,0.0
189,0.125,1,737,1.0,0.0457516339869281,0,0,0,0,0,0,0,0.0,0.0,0.0
190,0.07142857142857142,1,1,0.5,0.08496732026143791,1,1,0,0,0,0,0,0.0,0.0,0.0
191,1.0,1,1,0.5,0.0,1,1,0,1,0,0,0,0.0,0.0,0.0
192,0.07142857142857142,1,1,0.5,0.08496732026143791,1,1,0,1,0,0,0,0.0,0.0,0.0
193,0.5,1,737,1.0,0.006535947712418301,0,0,0,1,0,0,0,0.0,0.0,0.0
194,0.3333333333333333,1,1,0.5,0.013071895424836602,1,1,0,1,0,0,0,0.0,0.0,0.0
195,0.3333333333333333,1,1,0.5,0.013071895424836602,1,1,0,1,0,0,0,0.0,0.0,0.0
196,1.0,1,1,0.5,0.0,1,1,0,0,0,0,0,0.0,0.0,0.0
197,0.5,3,1,0.75,0.006535947712418301,1,0,0,0,0,0,0,0.0,0.0,0.0
198,0.5,1,1,0.5,0.006535947712418301,1,1,0,0,0,0,0,0.0,0.0,0.0
199,1.0,1,1,0.5,0.0,1,1,0,0,0,0,0,0.0,0.0,0.0
200,1.0,1,1,0.5,0.0,1,1,0,1,0,0,0,0.0,0.0,0.0
201,1.0,1,1,0.5,0.0,1,1,0,1,0,0,0,0.0,0.0,0.0
202,0.1111111111111111,1,1,0.5,0.05228758169934641,1,1,0,1,0,0,0,0.0,0.0,0.0
203,0.017857142857142856,2,1,0.6666666666666666,0.35947712418300654,1,1,0,1,0,0,0,0.0,0.0,0.0
204,1.0,4,361,0.8,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0
205,0.1111111111111111,1,1,0.5,0.05228758169934641,1,1,0,0,0,0,0,0.0,0.0,0.0
206,0.00510204081632653,1,1,0.5,0.7581699346405228,1,0,0,1,0,0,0,0.0,0.0,0.0
207,0.041666666666666664,1,1,0.5,0.1503267973856209,1,1,0,1,0,0,0,0.0,0.0,0.0
208,0.2,1,1,0.5,0.026143790849673203,1,1,0,1,0,0,0,0.0,0.0,0.0
209,1.0,2,10,1.0,0.0,0,0,1,1,0,0,0,0.0,0.0,0.0
210,1.0,1,1,0.5,0.0,1,1,1,1,0,0,0,0.0,0.0,0.0
211,0.3333333333333333,1,1,0.5,0.013071895424836602,1,1,0,1,0,0,0,0.0,0.0,0.0
212,0.024390243902439025,1,1,0.5,0.26143790849673204,1,1,0,1,0,0,0,0.0,0.0,0.0
213,1.0,4,124,0.8,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0
214,0.1111111111111111,1,1,0.5,0.05228758169934641,1,1,0,1,0,0,0,0.0,0.0,0.0
215,0.0011862396204033216,1,1,0.5,0.9281045751633987,1,1,0,1,0,0,0,0.0,0.0,0.0
216,0.034482758620689655,3,434,1.0,0.1830065359477124,0,0,0,1,0,0,0,0.0,0.0,0.0
217,0.05,1,1,0.5,0.12418300653594772,1,1,0,1,0,0,0,0.0,0.0,0.0
218,1.0,7,434,0.5384615384615384,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0
219,0.1111111111111111,1,1,0.5,0.05228758169934641,1,1,0,1,0,0,0,0.0,0.0,0.0
220,0.3333333333333333,4,779,1.0,0.013071895424836602,0,0,0,1,0,0,0,0.0,0.0,0.0
221,0.08333333333333333,1,1,0.5,0.0718954248366013,1,1,0,1,0,0,0,0.0,0.0,0.0
222,0.09090909090909091,1,1,0.5,0.06535947712418301,1,1,0,1,0,0,0,0.0,0.0,0.0
223,0.06666666666666667,1,1,0.5,0.0915032679738562,1,1,0,1,0,0,0,0.0,0.0,0.0
224,0.5,8,3,0.8,0.006535947712418301,0,0,0,0,0,0,0,0.0,0.0,0.0
225,0.034482758620689655,1,1,0.5,0.1830065359477124,1,1,0,0,0,0,0,0.0,0.0,0.0
226,0.5,8,2,0.8,0.006535947712418301,0,0,0,0,0,0,0,0.0,0.0,0.0
227,0.05555555555555555,1,1,0.5,0.1111111111111111,1,1,0,1,0,0,0,0.0,0.0,0.0
228,1.0,1,3,0.25,0.0,1,0,0,1,0,0,0,0.0,0.0,0.0
229,0.2,1,1,0.5,0.026143790849673203,1,1,0,1,0,0,0,0.0,0.0,0.0
230,1.0,4,3,0.6666666666666666,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0
231,0.043478260869565216,1,1,0.5,0.1437908496732026,1,1,0,1,0,0,0,0.0,0.0,0.0
232,1.0,1,1,0.5,0.0,1,1,0,1,0,0,0,0.0,0.0,0.0
233,0.025,1,1,0.5,0.2549019607843137,1,1,0,1,0,0,0,0.0,0.0,0.0
234,1.0,1,1,0.5,0.0,1,1,0,1,0,0,0,0.0,0.0,0.0
235,1.0,4,434,1.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0
236,0.1,1,1,0.5,0.058823529411764705,1,1,0,1,0,0,0,0.0,0.0,0.0
237,1.0,1,779,1.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0
238,0.5,1,1,0.5,0.006535947712418301,1,1,0,1,0,0,0,0.0,0.0,0.0
239,1.0,3,192,0.6,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0
240,1.0,1,1,0.5,0.0,1,1,0,0,0,0,0,0.0,0.0,0.0
241,0.045454545454545456,1,1,0.5,0.13725490196078433,1,1,0,1,0,0,0,0.0,0.0,0.0
242,0.058823529411764705,1,1,0.5,0.10457516339869281,1,1,0,1,0,0,0,0.0,0.0,0.0
243,0.0030959752321981426,66,45,0.5945945945945946,0.8300653594771242,1,0,0,1,0,0,0,0.0,0.0,0.0
244,0.037037037037037035,1,2,0.3333333333333333,0.16993464052287582,1,1,0,1,0,0,0,0.0,0.0,0.0
245,0.08333333333333333,1,1,0.5,0.0718954248366013,1,1,0,1,0,0,0,0.0,0.0,0.0
246,0.2,5,2,0.7142857142857143,0.026143790849673203,1,0,0,0,0,0,0,0.0,0.0,0.0
247,0.08333333333333333,1,1,0.5,0.0718954248366013,1,1,0,0,0,0,0,0.0,0.0,0.0
248,0.5,5,35,0.7142857142857143,0.006535947712418301,0,0,0,0,0,0,0,0.0,0.0,0.0
249,0.2,5,192,0.7142857142857143,0.026143790849673203,0,0,0,0,0,0,0,0.0,0.0,0.0
250,0.013513513513513514,1,1,0.5,0.45098039215686275,1,1,0,1,0,0,0,0.0,0.0,0.0
251,0.25,7,854,1.0,0.0196078431372549,0,0,0,1,0,0,0,0.0,0.0,0.0
252,0.07692307692307693,1,1,0.5,0.0784313725490196,1,1,0,1,0,0,0,0.0,0.0,0.0
253,0.16666666666666666,9,865,0.6428571428571429,0.032679738562091505,0,0,0,1,0,0,0,0.0,0.0,0.0
254,0.07142857142857142,1,1,0.5,0.08496732026143791,1,1,0,1,0,0,0,0.0,0.0,0.0
255,0.05,3,3,1.0,0.12418300653594772,0,0,1,1,0,0,0,0.0,0.0,0.0
256,0.025,1,1,0.5,0.2549019607843137,1,1,1,1,0,0,0,0.0,0.0,0.0
257,0.023255813953488372,1,3,0.25,0.27450980392156865,1,0,0,1,0,0,0,0.0,0.0,0.0
258,1.0,5,434,0.8333333333333334,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0
259,0.09090909090909091,1,1,0.5,0.06535947712418301,1,1,0,1,0,0,0,0.0,0.0,0.0
260,0.3333333333333333,7,124,0.7777777777777778,0.013071895424836602,0,0,0,1,0,0,0,0.0,0.0,0.0
261,0.027777777777777776,1,1,0.5,0.22875816993464052,1,1,0,1,0,0,0,0.0,0.0,0.0
262,1.0,1,1,0.5,0.0,1,1,0,1,0,0,0,0.0,0.0,0.0
